OBJECTID,Country,Feature Description,Feature Name,Installation Identifier,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Metadata Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
735,usa,na,Portland IAP ANG,TQKD,No,No,No,na,na, ,76deba76-85c2-486c-8dff-54c84f004004,Portland IAP ANG,act,airNationalGuard,OR,0.000103419015431427,0.0522273512247024
736,usa,na,Lincoln Map,NGCB,No,No,No,na,na, ,,Lincoln Map,act,airNationalGuard,NE,4.93109935177927E-05,0.0347621563290403
737,usa,na,Rickenbacker,NLZG,No,No,No,na,na, ,,Rickenbacker,act,airNationalGuard,OH,7.17381490176194E-05,0.0544833135489595
738,usa,na,Quonset State Airport,TWLR,No,No,No,na,na, ,,Quonset State Airport,act,airNationalGuard,RI,4.61424926925247E-05,0.0433803149151253
740,usa,na,Selfridge ANGB,VGLZ,No,No,No,na,na, ,,Selfridge ANGB,act,airNationalGuard,MI,0.0013719145279083,0.207419542873658
741,usa,na,Stewart IAP,WHAY,No,No,No,na,na, ,,Stewart IAP,act,airNationalGuard,NY,0.000113252068331349,0.0487837036809599
742,usa,na,Pease ANGB NH,SZCQ,No,No,No,na,na, ,,Pease ANGB NH,act,airNationalGuard,NH,9.75743355411396E-05,0.0557326070540171
743,usa,na,MCLB Albany,M67004,No,No,No,na,na, ,cfed841c-2342-4417-ba7a-16bdb6fa9349,MCLB Albany,act,usmc,GA,0.00125383123145184,0.203412024970446
744,usa,na,MCLB Barstow,M62204,No,No,No,na,na, ,60651db3-2817-4625-8a18-17162cabed11,MCLB Barstow,act,usmc,CA,0.00150800111555327,0.224233998357705
745,usa,na,Yermo Area,M62204,No,No,No,na,na, ,b2d7625d-3395-40ec-abbc-e1f480debe91,Yermo Area,act,usmc,CA,0.000674742497267289,0.149377771382243
746,usa,na,Marine Corps Air Station Beaufort,M60169,No,Yes,No,na,na, ,9c1014a8-1220-4a9f-a7ae-320a611c9486,MCAS Beaufort,act,usmc,SC,0.00291409242049667,0.965519922839169
747,usa,na,TBR Main,M60169,No,No,No,na,na, ,3c8641a5-d38a-47da-b186-0a4217b0b375,TBR Main,act,usmc,GA,0.021229662997257,2.92915816801905
748,usa,na,MCSF Blount Island (FL),M67695,No,No,No,na,na, ,d4849d61-27fc-4bc1-ba17-ec0623fdd906,MCSF Blount Island (FL),act,usmc,FL,0.000350173335391446,0.089140229124434
749,usa,na,Bridgeport,M67399,No,No,No,na,na, ,d90251c7-33bc-44f2-8796-03f24946b181,Bridgeport,act,usmc,CA,0.0258218493427194,1.07134318851069
